CrimeDate,District,Location,Value
2011-01-29,CENTRAL,Outside,8
2011-01-29,EASTERN,Inside,4
2011-01-29,EASTERN,Outside,1
2011-01-29,NORTHEASTERN,Inside,9
2011-01-29,NORTHEASTERN,Outside,7
2011-01-29,NORTHERN,Inside,5
2011-01-29,NORTHERN,Outside,5
2011-01-29,NORTHWESTERN,Outside,2
2011-01-29,SOUTHEASTERN,Inside,4
2011-01-29,SOUTHEASTERN,Outside,10
2011-01-29,SOUTHERN,Inside,2
2011-01-29,SOUTHERN,Outside,6
2011-01-29,SOUTHWESTERN,Inside,1
2011-01-29,SOUTHWESTERN,Outside,2
2011-01-29,WESTERN,Inside,9
2011-01-29,WESTERN,Outside,3
2011-01-30,CENTRAL,Inside,6
2011-01-30,CENTRAL,Outside,4
2011-01-30,EASTERN,Inside,3
2011-01-30,EASTERN,Outside,4
2011-01-30,NORTHEASTERN,Inside,5
2011-01-30,NORTHEASTERN,Outside,3
2011-01-30,NORTHERN,Inside,5
2011-01-30,NORTHERN,Outside,5
2011-01-30,NORTHWESTERN,Inside,10
2011-01-30,NORTHWESTERN,Outside,5
2011-01-30,SOUTHEASTERN,Inside,4
2011-01-30,SOUTHEASTERN,Outside,2
2011-01-30,SOUTHERN,Inside,9
2011-01-30,SOUTHERN,Outside,8
2011-01-30,SOUTHWESTERN,Inside,6
2011-01-30,SOUTHWESTERN,Outside,4
2011-01-30,WESTERN,Inside,6
2011-01-30,WESTERN,Outside,4
2011-01-31,CENTRAL,Inside,8
2011-01-31,CENTRAL,Outside,4
2011-01-31,EASTERN,Inside,5
2011-01-31,EASTERN,Outside,8
2011-01-31,NORTHEASTERN,Inside,13
2011-01-31,NORTHEASTERN,Outside,8
2011-01-31,NORTHERN,Inside,7
2011-01-31,NORTHERN,Outside,3
2011-01-31,NORTHWESTERN,Inside,4
2011-01-31,NORTHWESTERN,Outside,1
2011-01-31,SOUTHEASTERN,Inside,5
2011-01-31,SOUTHEASTERN,Outside,4
2011-01-31,SOUTHERN,Inside,5
2011-01-31,SOUTHERN,Outside,1
2011-01-31,SOUTHWESTERN,Inside,3
2011-01-31,SOUTHWESTERN,Outside,3
2011-01-31,WESTERN,Inside,10
2011-01-31,WESTERN,Outside,2
2011-02-01,CENTRAL,Inside,7
2011-02-01,CENTRAL,Outside,8
2011-02-01,EASTERN,Inside,9
2011-02-01,EASTERN,Outside,5
2011-02-01,NORTHEASTERN,Inside,13
2011-02-01,NORTHEASTERN,Outside,12
2011-02-01,NORTHERN,Inside,6
2011-02-01,NORTHERN,Outside,2
2011-02-01,NORTHWESTERN,Inside,8
2011-02-01,NORTHWESTERN,Outside,3
2011-02-01,SOUTHEASTERN,Inside,4
2011-02-01,SOUTHEASTERN,Outside,11
2011-02-01,SOUTHERN,Inside,5
2011-02-01,SOUTHERN,Outside,3
2011-02-01,SOUTHWESTERN,Inside,4
2011-02-01,SOUTHWESTERN,Outside,3
2011-02-01,WESTERN,Inside,4
2011-02-01,WESTERN,Outside,3
2011-02-02,CENTRAL,Inside,7
2011-02-02,CENTRAL,Outside,5
2011-02-02,EASTERN,Inside,4
2011-02-02,EASTERN,Outside,1
2011-02-02,NORTHEASTERN,Inside,8
2011-02-02,NORTHEASTERN,Outside,12
2011-02-02,NORTHERN,Inside,7
2011-02-02,NORTHERN,Outside,5
2011-02-02,NORTHWESTERN,Inside,3
2011-02-02,NORTHWESTERN,Outside,3
2011-02-02,SOUTHEASTERN,Inside,5
2011-02-02,SOUTHEASTERN,Outside,4
2011-02-02,SOUTHERN,Inside,9
2011-02-02,SOUTHERN,Outside,6
2011-02-02,SOUTHWESTERN,Inside,5
2011-02-02,SOUTHWESTERN,Outside,5
2011-02-02,WESTERN,Inside,4
2011-02-02,WESTERN,Outside,3
2011-02-03,CENTRAL,Inside,10
2011-02-03,CENTRAL,Outside,6
2011-02-03,EASTERN,Inside,3
2011-02-03,EASTERN,Outside,4
2011-02-03,NORTHEASTERN,Inside,10
2011-02-03,NORTHEASTERN,Outside,8
2011-02-03,NORTHERN,Inside,3
2011-02-03,NORTHERN,Outside,2
2011-02-03,NORTHWESTERN,Inside,7
2011-02-03,NORTHWESTERN,Outside,1
2011-02-03,SOUTHEASTERN,Inside,5
2011-02-03,SOUTHEASTERN,Outside,3
2011-02-03,SOUTHERN,Inside,9
2011-02-03,SOUTHERN,Outside,5
2011-02-03,SOUTHWESTERN,Inside,4
2011-02-03,SOUTHWESTERN,Outside,1
2011-02-03,WESTERN,Inside,10
2011-02-03,WESTERN,Outside,4
2011-02-04,CENTRAL,Inside,7
2011-02-04,CENTRAL,Outside,8
2011-02-04,EASTERN,Inside,8
2011-02-04,EASTERN,Outside,3
2011-02-04,NORTHEASTERN,Inside,10
2011-02-04,NORTHEASTERN,Outside,4
2011-02-04,NORTHERN,Inside,6
2011-02-04,NORTHERN,Outside,3
2011-02-04,NORTHWESTERN,Inside,4
2011-02-04,NORTHWESTERN,Outside,4
2011-02-04,SOUTHEASTERN,Inside,10
2011-02-04,SOUTHEASTERN,Outside,11
2011-02-04,SOUTHERN,Inside,4
2011-02-04,SOUTHERN,Outside,12
2011-02-04,SOUTHWESTERN,Inside,6
2011-02-04,SOUTHWESTERN,Outside,4
2011-02-04,WESTERN,Inside,9
2011-02-04,WESTERN,Outside,3
2011-02-05,CENTRAL,Inside,5
2011-02-05,CENTRAL,Outside,7
2011-02-05,EASTERN,Inside,6
2011-02-05,EASTERN,Outside,5
2011-02-05,NORTHEASTERN,Inside,8
2011-02-05,NORTHEASTERN,Outside,9
2011-02-05,NORTHERN,Inside,6
2011-02-05,NORTHERN,Outside,3
2011-02-05,NORTHWESTERN,Inside,9
2011-02-05,NORTHWESTERN,Outside,2
2011-02-05,SOUTHEASTERN,Inside,3
2011-02-05,SOUTHEASTERN,Outside,9
2011-02-05,SOUTHERN,Inside,7
2011-02-05,SOUTHERN,Outside,5
2011-02-05,SOUTHWESTERN,Inside,6
2011-02-05,SOUTHWESTERN,Outside,6
2011-02-05,WESTERN,Inside,4
2011-02-05,WESTERN,Outside,1
2011-02-06,CENTRAL,Inside,13
2011-02-06,CENTRAL,Outside,7
2011-02-06,EASTERN,Inside,5
2011-02-06,NORTHEASTERN,Inside,8
